"","Df","SumOfSqs","R2","F","Pr(>F)"
"ice",1,22.7563314191877,0.379272190319795,8.55416912480964,0.001
"Residual",14,37.2436685808123,0.620727809680205,NA,NA
"Total",15,60,1,NA,NA
