"","Df","SumOfSqs","R2","F","Pr(>F)"
"ice",1,23.0655356962499,0.339199054356616,10.5100378820961,0.001
"fluorescence",1,12.0151694995769,0.176693669111426,5.47482999152239,0.006
"Residual",15,32.9192948041731,0.484107276531958,NA,NA
"Total",17,68,1,NA,NA
